Transaction ID,Source,Date,Amount,Type,Description,Match Status,Matched With,Match Confidence,Discrepancy Type,Severity,Machine Reason,LLM Explanation,Suggested Action
df7f04f6,Bank,2024-12-18,9592.29,credit,SALARY,Matched,813fb4e1,1.000,,,,,
0ff097fb,Bank,2024-12-19,7180.04,credit,SALARY,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: SALARY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: SALARY
a9134db3,Bank,2024-12-20,309.16,debit,GAS,Matched,f8633b4d,1.000,,,,,
e302ca80,Bank,2024-12-20,8821.63,credit,SALARY,Matched,4f6398c0,0.716,,,,,
fcae0514,Bank,2024-12-22,4231.73,credit,PAYROLL,Matched,7b831728,0.987,,,,,
d8f42a87,Bank,2024-12-22,6586.48,credit,WAGES,Matched,3c4ec119,0.678,,,,,
815ceae9,Bank,2024-12-22,349.91,debit,AMZN,Matched,93617742,1.000,,,,,
4d7ae6f0,Bank,2024-12-22,9345.60,credit,SALARY,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: SALARY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: SALARY
c113fb99,Bank,2024-12-23,4.28,debit,Starbucks,Matched,4b0b8ac7,1.000,,,,,
3935020d,Bank,2024-12-23,89.17,debit,EXXON,Matched,1e3421b7,0.834,,,,,
9c383232,Bank,2024-12-25,10.21,debit,STARBUCKS,Matched,d16458f6,1.000,,,,,
f2452ae4,Bank,2024-12-25,4408.25,credit,SALARY,Matched,024cc291,0.943,,,,,
ec0c011f,Bank,2024-12-25,1171.03,debit,SUPPLIER,Matched,32569f5f,0.971,,,,,
b2818872,Bank,2024-12-26,4173.42,credit,PAYROLL,Matched,2d926054,1.000,,,,,
00619bb4,Bank,2024-12-31,165.07,debit,Office Depot,Matched,29436d70,0.813,,,,,
7f51de33,Bank,2024-12-31,139.78,debit,OFFICE DEPOT,Matched,84b09e84,0.981,,,,,
aae54f3a,Bank,2024-12-31,10.11,debit,Starbucks,Matched,4f04b12a,1.000,,,,,
036e50a5,Bank,2025-01-02,4384.30,debit,TRANSFER,Matched,713f4de6,0.914,,,,,
cd6f712d,Bank,2025-01-02,5883.52,credit,SALARY,Matched,c7d163d8,0.886,,,,,
85cf13c9,Ledger,2024-12-04,8650.94,credit,PAYROLL,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: PAYROLL
bdd18329,Ledger,2024-12-08,6661.55,credit,PAYROLL,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: PAYROLL
e13ee547,Ledger,2024-12-10,63.43,debit,GAS STATION,Unmatched,,,missing_in_bank,medium,Ledger transaction not found in bank statement: GAS STATION,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: GAS STATION
9ef827ab,Ledger,2024-12-11,7180.04,credit,SALARY,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: SALARY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: SALARY
62df8370,Ledger,2024-12-16,11.23,debit,SUBSCRIPTION,Unmatched,,,missing_in_bank,medium,Ledger transaction not found in bank statement: SUBSCRIPTION,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: SUBSCRIPTION
ddc0d750,Ledger,2024-12-28,2809.91,credit,PAYROLL,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: PAYROLL
aa0a0c74,Ledger,2024-12-29,9345.60,credit,SALARY,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: SALARY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: SALARY
