Transaction ID,Source,Date,Amount,Type,Description,Match Status,Matched With,Match Confidence,Discrepancy Type,Severity,Machine Reason,LLM Explanation,Suggested Action
dc8e8c29,Bank,2024-12-11,7434.31,credit,WAGES,Matched,71e120e9,1.000,,,,,
416ef739,Bank,2024-12-12,1135.90,debit,WIRE TRANSFER,Matched,a369fce3,0.850,,,,,
602794f9,Bank,2024-12-12,8607.77,credit,WAGES,Matched,b33bedec,1.000,,,,,
30a934fd,Bank,2024-12-12,290.07,debit,OFFICE DEPOT,Matched,1a7a0478,0.943,,,,,
89be4f31,Bank,2024-12-13,2183.40,credit,PAYROLL,Matched,eb96b64e,0.791,,,,,
a7a0ad25,Bank,2024-12-13,8649.56,credit,PAYROLL,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: PAYROLL
75c0cfc1,Bank,2024-12-13,27.59,debit,SPOTIFY,Matched,4774723a,0.971,,,,,
577a0b64,Bank,2024-12-13,11.79,debit,SPOTIFY,Matched,ba2f51bf,0.989,,,,,
8976c599,Bank,2024-12-14,4103.05,credit,WAGES,Matched,052e54cd,0.887,,,,,
554583a5,Bank,2024-12-14,6657.48,credit,PAYROLL,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: PAYROLL
d2a82b02,Bank,2024-12-14,1216.13,debit,WIRE TRANSFER,Matched,e3e0b00c,0.792,,,,,
a20a92b2,Bank,2024-12-16,14.21,debit,SPOTIFY,Matched,19d31c48,0.914,,,,,
78d0cfa7,Bank,2024-12-17,143.33,debit,UTILITY,Matched,6a15a1c7,0.987,,,,,
b96caba6,Bank,2024-12-18,9592.29,credit,SALARY,Matched,d004c1a1,1.000,,,,,
507a18fc,Bank,2024-12-19,7180.04,credit,SALARY,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: SALARY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: SALARY
1f9445dd,Bank,2024-12-20,309.16,debit,GAS,Matched,b04a606e,1.000,,,,,
5cd265cb,Bank,2024-12-20,8821.63,credit,SALARY,Matched,7b8560a8,0.716,,,,,
c58d1f8d,Bank,2024-12-22,4231.73,credit,PAYROLL,Matched,d3fbb108,0.987,,,,,
73941ed7,Bank,2024-12-22,6586.48,credit,WAGES,Matched,583d85f3,0.678,,,,,
de517a9a,Bank,2024-12-22,349.91,debit,AMZN,Matched,91b14aa1,1.000,,,,,
990dd489,Bank,2024-12-22,9345.60,credit,SALARY,Unmatched,,,missing_in_ledger,high,Bank transaction not found in ledger: SALARY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Bank transaction not found in ledger: SALARY
4a56da3c,Bank,2024-12-23,4.28,debit,Starbucks,Matched,1f2d1b5b,1.000,,,,,
bced4a5a,Bank,2024-12-23,89.17,debit,EXXON,Matched,19ecd052,0.834,,,,,
f818e351,Bank,2024-12-25,10.21,debit,STARBUCKS,Matched,503ac746,1.000,,,,,
3caba043,Bank,2024-12-25,4408.25,credit,SALARY,Matched,fb00d16d,0.943,,,,,
a6c23917,Bank,2024-12-25,1171.03,debit,SUPPLIER,Matched,33037bc6,0.971,,,,,
100bda64,Bank,2024-12-26,4173.42,credit,PAYROLL,Matched,814d0f16,1.000,,,,,
a282f91a,Bank,2024-12-31,165.07,debit,Office Depot,Matched,c4781ceb,0.813,,,,,
12adfc6e,Bank,2024-12-31,139.78,debit,OFFICE DEPOT,Matched,a89cb391,0.981,,,,,
b98ffa34,Bank,2024-12-31,10.11,debit,Starbucks,Matched,fec5bee1,1.000,,,,,
04726382,Bank,2025-01-02,4384.30,debit,TRANSFER,Matched,4c061e2f,0.914,,,,,
0597429e,Bank,2025-01-02,5883.52,credit,SALARY,Matched,39eb990a,0.886,,,,,
f896d365,Ledger,2024-12-04,8650.94,credit,PAYROLL,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: PAYROLL
9f60203f,Ledger,2024-12-08,6661.55,credit,PAYROLL,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: PAYROLL
6d349e35,Ledger,2024-12-10,63.43,debit,GAS STATION,Unmatched,,,missing_in_bank,medium,Ledger transaction not found in bank statement: GAS STATION,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: GAS STATION
c944d69e,Ledger,2024-12-11,7180.04,credit,SALARY,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: SALARY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: SALARY
b86c8d6f,Ledger,2024-12-16,11.23,debit,SUBSCRIPTION,Unmatched,,,missing_in_bank,medium,Ledger transaction not found in bank statement: SUBSCRIPTION,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: SUBSCRIPTION
222d2909,Ledger,2024-12-28,2809.91,credit,PAYROLL,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: PAYROLL,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: PAYROLL
ed8b0417,Ledger,2024-12-29,9345.60,credit,SALARY,Unmatched,,,missing_in_bank,high,Ledger transaction not found in bank statement: SALARY,"Error generating explanation: Error code: 401 - {'error': {'message': 'Incorrect API key provided: sk-proj-*************************************************************************************************************************************zmo-. You can find your API key at https://platform.openai.com/account/api-keys.', 'type': 'invalid_request_error', 'code': 'invalid_api_key', 'param': None}, 'status': 401}",Ledger transaction not found in bank statement: SALARY
